title,company,city,salary_from,salary_to,currency,description,source_url,published_at
NLP-разработчик в Браузер,Яндекс,Москва,,,RUB,6 июня Яндекс 3.73 NLP-разработчик в Браузер Senior Москва Python Docker PyTorch Deep Learning NLP LLM Reinforcement learning Откликнуться,https://career.habr.com/vacancies/1000166397,2026-06-07
Разработчик C++,SimbirSoft,Не указан,,,RUB,7 июня SimbirSoft 4.7 Разработчик C++ Можно удалённо C++ Linux 1 1 1 Откликнуться,https://career.habr.com/vacancies/1000165802,2026-06-07
BI-аналитик,Coral Club,Не указан,7,,RUB,7 июня Coral Club BI-аналитик Зарплата не указана Похожие специалисты получают 150 000 - 222 000 ₽ Можно удалённо PostgreSQL Apache Superset Python React DWH 1 1 Откликнуться,https://career.habr.com/vacancies/1000165804,2026-06-07
CRM-маркетолог,Coral Club,Москва,7,,RUB,7 июня Coral Club CRM-маркетолог Зарплата не указана Похожие специалисты получают 112 000 - 170 000 ₽ Можно удалённо Москва Email маркетинг Верстка Email HTML Откликнуться,https://career.habr.com/vacancies/1000165805,2026-06-07
Аналитик 1С,Coral Club,Москва,7,,RUB,7 июня Coral Club Аналитик 1С Зарплата не указана Похожие специалисты получают 120 000 - 263 000 ₽ Можно удалённо Москва 1C: ERP Откликнуться,https://career.habr.com/vacancies/1000165806,2026-06-07
Системный аналитик,ИТ-Холдинг Т1,Не указан,7,,RUB,7 июня ИТ-Холдинг Т1 Системный аналитик Зарплата не указана Похожие специалисты получают 250 000 - 359 000 ₽ Senior Можно удалённо SQL REST Apache Kafka BPMN UML Системная аналитика Системная интеграция 1 1 1 1 Откликнуться,https://career.habr.com/vacancies/1000156821,2026-06-07
Team Lead PHP,Marfatech,Не указан,7,,RUB,7 июня Marfatech Team Lead PHP Зарплата не указана Похожие специалисты получают 300 000 - 459 000 ₽ Lead Можно удалённо PHP Базы данных MySQL Symfony Управление людьми Построение команды 1 1 Откликнуться,https://career.habr.com/vacancies/1000163355,2026-06-07
Разработчик на С++ в группу пешеходной и транспортной навигации,Яндекс,Москва,,,RUB,7 июня Яндекс 3.73 Разработчик на С++ в группу пешеходной и транспортной навигации Senior Москва Санкт-Петербург Нижний Новгород C++ Python Откликнуться,https://career.habr.com/vacancies/1000165890,2026-06-07
QA Engineer Fullstack (Java/Kotlin),SimbirSoft,Не указан,7,,RUB,7 июня SimbirSoft 4.7 QA Engineer Fullstack (Java/Kotlin) Зарплата не указана Похожие специалисты получают 130 000 - 233 000 ₽ Middle Можно удалённо Java Kotlin Junit TestNG REST Assured Selenide Selenium SQL 1 Откликнуться,https://career.habr.com/vacancies/1000163599,2026-06-07
Инженер данных,SimbirSoft,Не указан,,,RUB,7 июня SimbirSoft 4.7 Инженер данных Senior Можно удалённо PostgreSQL ClickHouse Python Apache Airflow Apache NiFi 1 Откликнуться,https://career.habr.com/vacancies/1000165809,2026-06-07
DevOps-инженер,ИТ-компания «Лоция»,Москва,7,,RUB,7 июня ИТ-компания «Лоция» DevOps-инженер Зарплата не указана Похожие специалисты получают 165 000 - 255 000 ₽ Middle Можно удалённо Москва CI/CD Kubernetes Docker Nginx Windows Azure 1 Откликнуться,https://career.habr.com/vacancies/1000165810,2026-06-07
Разработчик на Java/Kotlin в Финтех Яндекса,Яндекс,Москва,7,,RUB,7 июня Яндекс 3.73 Разработчик на Java/Kotlin в Финтех Яндекса Зарплата не указана Похожие специалисты получают 325 000 - 442 000 ₽ Senior Можно удалённо Москва Санкт-Петербург Java Apache Kafka PostgreSQL Kubernetes Redis Kotlin ClickHouse Greenplum Откликнуться,https://career.habr.com/vacancies/1000165674,2026-06-07
Системный разработчик С++ в команду основных компонентов,Navio,Москва,7,,RUB,7 июня Navio Системный разработчик С++ в команду основных компонентов Зарплата не указана Похожие специалисты получают 200 000 - 318 000 ₽ Middle Москва Python C++ Linux 1 Откликнуться,https://career.habr.com/vacancies/1000164113,2026-06-07
GO-разработчик (Геосервисы),Wildberries & Russ,Москва,7,,RUB,7 июня Wildberries & Russ 4.39 GO-разработчик (Геосервисы) Зарплата не указана Похожие специалисты получают 380 000 - 450 000 ₽ Senior Можно удалённо Москва Golang PostgreSQL Kubernetes MongoDB Git SQL 1 1 1 Откликнуться,https://career.habr.com/vacancies/1000160638,2026-06-07
Продуктовый аналитик (Департамент Медиа | ADS),Wildberries & Russ,Москва,7,,RUB,7 июня Wildberries & Russ 4.39 Продуктовый аналитик (Департамент Медиа | ADS) Зарплата не указана Похожие специалисты получают 332 000 - 414 000 ₽ Senior Можно удалённо Москва SQL Python PostgreSQL ClickHouse 1 1 1 1 Откликнуться,https://career.habr.com/vacancies/1000157732,2026-06-07
DevSecOps специалист,Совкомбанк Технологии,Санкт-Петербург,7,,RUB,7 июня Совкомбанк Технологии 4.72 DevSecOps специалист Зарплата не указана Похожие специалисты получают 142 000 - 238 000 ₽ Middle Санкт-Петербург Казань Новосибирск CI/CD DevSecOps Информационная безопасность Откликнуться,https://career.habr.com/vacancies/1000165330,2026-06-07
C++ Game Developer / Legacy Game Project,Excellent Games Inc.,Не указан,1000,,RUB,7 июня Excellent Games Inc. C++ Game Developer / Legacy Game Project от 1000 до 2000 $ Middle Можно удалённо C++ C# Visual Studio SQL Базы данных GitHub Unity3d Администрирование MS SQL Откликнуться,https://career.habr.com/vacancies/1000166857,2026-06-07
Fullstack QA (Mobile + Load),М Тех,Москва,7,,RUB,7 июня М Тех Fullstack QA (Mobile + Load) Зарплата не указана Похожие специалисты получают 238 000 - 479 000 ₽ Можно удалённо Москва Kotlin Docker Java Нагрузочное тестирование Apache JMeter 1 Откликнуться,https://career.habr.com/vacancies/1000166262,2026-06-07
Сетевой инженер Huawei,ИТ-компания «Лоция»,Москва,7,,RUB,7 июня ИТ-компания «Лоция» Сетевой инженер Huawei Зарплата не указана Похожие специалисты получают 108 000 - 184 000 ₽ Middle Москва Настройка VPN Администрирование сетей Администрирование оборудования Cisco Откликнуться,https://career.habr.com/vacancies/1000165817,2026-06-07
Специалист по межсетевым экранам,ИТ-компания «Лоция»,Москва,,,RUB,7 июня ИТ-компания «Лоция» Специалист по межсетевым экранам Senior Москва NGFW Откликнуться,https://career.habr.com/vacancies/1000165818,2026-06-07
Руководитель направления регуляторной безопасности (Compliance),Совкомбанк Технологии,Санкт-Петербург,7,,RUB,7 июня Совкомбанк Технологии 4.72 Руководитель направления регуляторной безопасности (Compliance) Зарплата не указана Похожие специалисты получают 210 000 - 350 000 ₽ Lead Санкт-Петербург Новосибирск Саратов Информационная безопасность 1 Откликнуться,https://career.habr.com/vacancies/1000165334,2026-06-07
Java разработчик,ИТ-Холдинг Т1,Не указан,7,,RUB,7 июня ИТ-Холдинг Т1 Java разработчик Зарплата не указана Похожие специалисты получают 69 000 - 130 000 ₽ Junior Можно удалённо Новосибирск Java Java Spring Framework Spring Boot Apache Kafka PostgreSQL Docker Kubernetes 1 1 1 1 Откликнуться,https://career.habr.com/vacancies/1000161187,2026-06-07
Java разработчик,ИТ-Холдинг Т1,Не указан,7,,RUB,7 июня ИТ-Холдинг Т1 Java разработчик Зарплата не указана Похожие специалисты получают 71 000 - 140 000 ₽ Junior Можно удалённо Ижевск Казань Краснодар Java Docker PostgreSQL Hibernate Spring Boot Apache Kafka 1 1 1 1 Откликнуться,https://career.habr.com/vacancies/1000161173,2026-06-07
Системный аналитик (со знанием кредитных процессов (Junior)),ИТ-Холдинг Т1,Не указан,7,,RUB,7 июня ИТ-Холдинг Т1 Системный аналитик (со знанием кредитных процессов (Junior)) Зарплата не указана Похожие специалисты получают 100 000 - 145 000 ₽ Junior Можно удалённо Новосибирск SQL Java Apache Kafka 1 1 1 Откликнуться,https://career.habr.com/vacancies/1000161196,2026-06-07
Системный администратор Linux (офис),Лига Цифровой Экономики,Москва,,,RUB,7 июня Лига Цифровой Экономики 4.24 Системный администратор Linux (офис) Middle Москва Linux Nginx Откликнуться,https://career.habr.com/vacancies/1000166862,2026-06-07
Junior Java Developer,Internship Lab,Удалённо,70000,120000,RUB,Участие в разработке Java-приложений под руководством наставника,https://demo.example.com/vacancies/junior-java-developer,2026-06-07
Middle QA Automation Engineer,Parser Demo Company,Питер,130000,210000,RUB,Автоматизация тестирования web-приложений,https://demo.example.com/vacancies/qa-automation-engineer,2026-06-07
Backend Java Developer,Parser Demo Company,мск,180000,280000,RUB,"Разработка backend-сервисов, работа с Java, SQL и REST API",https://demo.example.com/vacancies/backend-java-developer,2026-06-07
